"Hot Spots - Method";"Self Time [%]";"Self Time";"Total Time";"Invocations"
"ar.edu.ungs.yamiko.problems.vrp.CVRPTWSimpleFitnessEvaluator.calcCapacityPenalty(double)";"0.0017765317";"47.377 ms";"47.375 ms";"944667"
"ar.edu.ungs.yamiko.problems.vrp.CVRPTWSimpleFitnessEvaluator.calcMaxTimeRoute(double)";"0.0016040044";"42.776 ms";"42.773 ms";"944667"
"ar.edu.ungs.yamiko.problems.vrp.utils.ScalaAdaptor$$anonfun$toScala$2.<init>(scala.runtime.ObjectRef)";"0.001461213";"38.968 ms";"38.966 ms";"918034"
"akka.dispatch.Mailbox.run()";"0.0013809677";"36.828 ms";"36.828 ms";"1107"
"ar.edu.ungs.yamiko.ga.toolkit.SearchHelper.binaryRangeSearch(double[], double)";"0.0013750431";"36.67 ms";"110.485 ms";"208000"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$2.apply(Object)";"0.0013339455";"35.574 ms";"1954.502 ms";"459026"
"akka.actor.LightArrayRevolverScheduler$$anon$2$$anon$1.run()";"0.0012272269";"32.728 ms";"106.131 ms";"2076"
"ar.edu.ungs.yamiko.problems.vrp.Route.<init>(java.util.List)";"0.0011981662";"31.953 ms";"31.951 ms";"913144"
"ar.edu.ungs.yamiko.ga.operators.impl.DescendantModifiedAcceptLigthEvaluator$$anonfun$execute$1.apply(ar.edu.ungs.yamiko.ga.domain.Individual)";"0.0011860918";"31.631 ms";"31.629 ms";"1159244"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesModelFromRoute$1.apply(ar.edu.ungs.yamiko.problems.vrp.Route)";"0.0011803171";"31.477 ms";"31.475 ms";"918040"
"scala.concurrent.BatchingExecutor$Batch.run()";"9.047086E-4";"24.127 ms";"57.596 ms";"2494"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$3.apply(ar.edu.ungs.yamiko.ga.domain.impl.DistributedPopulation)";"8.6852326E-4";"23.162 ms";"23.242 ms";"13"
"ar.edu.ungs.yamiko.problems.vrp.GVRMutatorInsertion.execute(ar.edu.ungs.yamiko.ga.domain.Individual)";"8.6409855E-4";"23.044 ms";"24.13 ms";"1830"
"ar.edu.ungs.yamiko.problems.vrp.VRPFitnessEvaluator.calcMaxVehiclePenalty(int, int)";"7.8632816E-4";"20.97 ms";"20.968 ms";"215170"
"ar.edu.ungs.yamiko.ga.operators.impl.DescendantModifiedAcceptLigthEvaluator$$anonfun$execute$1.<init>(ar.edu.ungs.yamiko.ga.operators.impl.DescendantModifiedAcceptLigthEvaluator)";"7.4808043E-4";"19.95 ms";"19.949 ms";"103999"
"ar.edu.ungs.yamiko.ga.toolkit.StaticHelper.getNewId()";"6.6371047E-4";"17.7 ms";"17.699 ms";"207998"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesModelFromRoute$1.<init>()";"6.0862623E-4";"16.231 ms";"16.23 ms";"207998"
"ar.edu.ungs.yaf.vrp.BestCostMatrix$$anonfun$insertBC$1.<init>(scala.collection.immutable.List[], scala.collection.mutable.ListBuffer)";"6.0382654E-4";"16.103 ms";"16.102 ms";"207999"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesInOneList$1.<init>()";"5.9463957E-4";"15.858 ms";"15.856 ms";"208000"
"ar.edu.ungs.yamiko.ga.domain.impl.BasicChromosome.<init>(String, Object)";"5.323933E-4";"14.198 ms";"14.195 ms";"208000"
"java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask.run()";"4.635474E-4";"12.362 ms";"3877.499 ms";"1654"
