"Hot Spots - Method";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"ar.edu.ungs.yamiko.problems.vrp.DistanceMatrix.getDistance()";"0.0";"0.0 ms";"0.0 ms";"21931.188 ms";"15675.954 ms";"106"
"org.apache.spark.CacheManager.putInBlockManager()";"0.0";"0.0 ms";"0.0 ms";"1.8556147429E7 ms";"1.8490521909E7 ms";"102"
"org.apache.spark.storage.MemoryStore.unrollSafely()";"0.0";"0.0 ms";"0.0 ms";"1.8556147429E7 ms";"1.8490521909E7 ms";"102"
"scala.collection.Iterator$$anon$11.next()";"0.0";"0.0 ms";"0.0 ms";"1.8556147429E7 ms";"1.8490521909E7 ms";"102"
"org.apache.spark.rdd.RDD.iterator()";"0.0";"0.0 ms";"0.0 ms";"1.8556147429E7 ms";"1.8490521909E7 ms";"102"
"org.apache.spark.CacheManager.getOrCompute()";"0.0";"0.0 ms";"0.0 ms";"1.8556147429E7 ms";"1.8490521909E7 ms";"102"
"scala.collection.mutable.ArrayBuffer.foreach()";"0.0";"0.0 ms";"0.0 ms";"17209.068 ms";"16859.409 ms";"93"
"scala.collection.mutable.ResizableArray$class.foreach()";"0.0";"0.0 ms";"0.0 ms";"17209.068 ms";"16859.409 ms";"93"
"ar.edu.ungs.yamiko.ga.toolkit.StaticHelper.randomDouble()";"0.0";"0.0 ms";"0.0 ms";"17118.467 ms";"16935.067 ms";"78"
"org.apache.spark.SparkContext$$anonfun$runJob$5.apply()";"0.0";"0.0 ms";"0.0 ms";"6789.078 ms";"5953.697 ms";"62"
"org.apache.spark.rdd.RDD$$anonfun$foreach$1$$anonfun$apply$32.apply()";"0.0";"0.0 ms";"0.0 ms";"6789.078 ms";"5953.697 ms";"62"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$4.apply()";"0.0";"0.0 ms";"0.0 ms";"6582.613 ms";"5747.232 ms";"60"
"scala.collection.TraversableLike$$anonfun$filterImpl$1.apply()";"0.0";"0.0 ms";"0.0 ms";"6728.857 ms";"4266.673 ms";"35"
"ar.edu.ungs.yamiko.ga.operators.impl.DescendantModifiedAcceptLigthEvaluator.execute()";"0.0";"0.0 ms";"0.0 ms";"6516.352 ms";"6130.034 ms";"35"
